|Item description|functional||brand|subbrand|variant|content|content_uom
243|Горошек зел. "Bonduelle" 200 г ж/б|Горошек зел.|1|Bonduelle|||200|г
244|Горошек зел. "Bonduelle" 400 г ж/б|Горошек зел.|0|Bonduelle|||400|г
245|Горошек зел. "Globus" 200 г ж/б|Горошек зел.|0|Globus|||200|г
246|Горошек зел. "Globus" 420 г ж/б|Горошек зел.|0|Globus|||420|г
247|Горошек зел. " Дядя Ваня" 400 г ж/б|Горошек зел.|0|Дядя Ваня|||400|г
248|Горошек зел. " ЕКО" 200 г ж/б|Горошек зел.|0|ЕКО|||200|г
249|Горошек зел. " ЕКО" 400 г ж/б|Горошек зел.|0|ЕКО|||400|г
250|Горчица "Kuhne" Зернистая 250 г ст/б|Горчица|1|Kuhne||Зернистая|250|г
251|Горчица "Kuhne" Средне-острая 250 г ст/б|Горчица|0|Kuhne||Средне-острая|250|г
252|Горчица "Верес" Баварская мягкая 155 гр/тюбик|Горчица|0|Верес||Баварская мягкая|155|г
253|Горчица "Главпродукт" Ядреная 170 г ст/б|Горчица|0|Главпродукт||Ядреная|170|г
254|Горчица "Дядя Ваня" столовая 140 г ст/б|Горчица|0|Дядя Ваня||столовая|140|г
255|Горчица "Столичная" русская 100 г р/тюбик|Горчица|0|Столичная||русская|100|г
256|гецкий орех "Good food" 130 г|гецкий орех|1|Good Food|||130|г
257|гецкий орех "Good food" 600 г пласт/банка|гецкий орех|0|Good Food|||600|г
258|гечневая каша "Сытоедов" с грибами и луком "по-монастырски" 300 г карт/кор|гечневая каша|1|Сытоедов|||300|г
259|гибы  "Краски Лета" Лесные 400 г|гибы|1|Краски Лета||Лесные|400|г
260|гибы "Лесная Былина" Ассорти соленые 480 г ст/б|гибы|0|Лесная Былина||Ассорти соленые|480|г
261|гибы "Лесная Былина" Белые 480 г ст/б|гибы|0|Лесная Былина||Белые|480|г
262|гибы "Лесная Былина" Грузди черные 480 г ст/б|гибы|0|Лесная Былина||гузди черные|480|г
263|гибы "Экопродукт" Владимирские ассорти маринованные 800 г ст/б|гибы|0|Экопродукт||Владимирские ассорти маринованные|800|г
264|гудинка "Ringa" Венгерская с/к нарезка 500 г|гудинка|1|Ringa||Венгерская с/к нарезка|500|г
265|гудка куриная "МЛМ" в соусе с овощным рагу 390 г карт/кор|гудка куриная|1|МЛМ||в соусе с овощным рагу|390|г
266|гуши "Del Monte" половинки очищенные в сиропе 420 г ж/б|гуши|1|Del Monte||половинки очищенные в сиропе|420|г
267|Губка  для мытья посуды "Scotch-Brite" (8 шт)|Губка  для мытья посуды|1|Scotch-Brite|||8|шт
268|Губки "Paclan" д/мытья посуды с абраз.пов.2 шт|Губки|1|Paclan||д/мытья посуды с абраз.пов.|2|шт
269|Губки "Paclan" д/мытья посуды с абраз.пов.3 шт|Губки|0|Paclan||д/мытья посуды с абраз.пов.|3|шт
270|Губки д/мытья посуды "Русалочка" Макси 10 шт|Губки д/мытья посуды|1|Русалочка||Макси|10|шт
271|Гуляш "Сытоедов" с макаронами 350 г/карт.кор|Гуляш|1|Сытоедов||с макаронами|350|г
272|Десерт "Бонжур" Ваниль 232 г карт/кор (Конти)|Десерт|1|Бонжур||Ваниль|232|г
273|Десерт "Бонжур" Капучинно 232 г карт/кор (Конти)|Десерт|0|Бонжур||Капучинно|232|г
274|Десерт "Бонжур" Клубника со сливками 232 г карт/кор (Конти)|Десерт|0|Бонжур||Клубника со сливками|232|г
275|Десерт "Бонжур" Лайм 232 г карт/кор (Конти)|Десерт|0|Бонжур||Лайм|232|г
276|Десерт "Бонжур" Ликер 232 г карт/кор (Конти)|Десерт|0|Бонжур||Ликер|232|г
277|Десерт "Бонжур" Суфле сливки 160 г карт/кор (Конти)|Десерт|0|Бонжур||Суфле сливки|160|г
278|Десерт "Бонжур" Суфле шоколадный крем 160 г карт/кор (Конти)|Десерт|0|Бонжур||Суфле шоколадный крем|160|г
279|Десерт "Бонжур" Черри 232 г карт/кор (Конти)|Десерт|0|Бонжур||Черри|232|г
280|Джем "Ратибор" Абрикосовый 360 г ст/б|Джем|1|Ратибор||Абрикосовый|360|г
281|Джем "Ратибор" Вишневый 360 г ст/б|Джем|0|Ратибор||Вишневый|360|г
282|Джем "Ратибор" Клубника 360 г ст/б|Джем|0|Ратибор||Клубника|360|г
283|Джем "Ратибор" Малина 360 г ст/б|Джем|0|Ратибор||Малина|360|г
284|Джем "Скатерть-Самобранка" Персиковый 310 г ст/б|Джем|0|Скатерть-Самобранка||Персиковый|310|г
285|Дрожжи "Саф-Момент" сухие для сдобы 12 г|Дрожжи|1|Саф-Момент||сухие для сдобы|12|г
286|Дрожжи "Саф-Момент" сухие 11 г|Дрожжи|0|Саф-Момент||сухие|11|г
287|Дрожжи хлебопекарные "Preston" Арикон 8 г 33380|Дрожжи хлебопекарные|1|Preston||Арикон|8|г
288|Дыня "Good food" сушеная 150 г пакет|Дыня|1|Good Food||сушеная|150|г
289|Дыня тайская "Good food" сушеная 110 г пакет|Дыня тайская|1|Good Food||сушеная|110|г
290|Жаркое "Сытоедов" Грибное лукошко со свининой 400 г карт/кор|Жаркое|1|Сытоедов||гибное лукошко со свининой|400|г
291|Желатин "Магия Востока" Арикон 10 г пакет 33540|Желатин|1|Магия Востока||Арикон|10|г
292|Желудки куриные очищенные "Петелино" 0,55 кг|Желудки куриные очищенные|1|Петелино|||0,55|кг
293|Желудки куриные очищенные "Петелино" 0,58 кг|Желудки куриные очищенные|0|Петелино|||0,58|кг
294|Желудки куриные очищенные "Петелино" 0,59 кг|Желудки куриные очищенные|0|Петелино|||0,59|кг
295|Желудки куриные очищенные "Петелино" 0,6 кг|Желудки куриные очищенные|0|Петелино|||0,6|кг
296|Жидкое крем-мыло "Dove"  250 мл|Жидкое крем-мыло|1|Dove|||250|мл
297|Жидкое крем-мыло "Dove" Прикосновение свежести 250 мл|Жидкое крем-мыло|0|Dove||Прикосновение свежести|250|мл
298|Жидкое крем-мыло "Красная линия" Молоко и мед 520 мл|Жидкое крем-мыло|0|Красная линия||Молоко и мед|520|мл
299|Жидкое крем-мыло "Красная линия" нежное 520 мл|Жидкое крем-мыло|0|Красная линия||нежное|520|мл
300|Жидкое кухонное мыло для рук "Красная линия" лимон 520 мл|Жидкое кухонное мыло для рук|1|Красная линия||лимон|520|мл
301|Жидкое кухонное мыло для рук "Красная линия" яблоко 520 мл|Жидкое кухонное мыло для рук|0|Красная линия||яблоко|520|мл
302|Жидкое мыло "Cremona" Роза  для рук и тела со смягч. компонентами 5 л|Жидкое мыло|1|Cremona||Роза  для рук и тела со смягч. компонентами|5|л
303|Жидкое мыло "Ideal" Лесные ягоды 5 л|Жидкое мыло|0|Ideal||Лесные ягоды|5|л
304|Жидкое мыло "Palmolive" Акванатурель 300 мл|Жидкое мыло|0|Palmolive||Акванатурель|300|мл
305|Жидкое мыло "Palmolive" Ароматерапия Прополис 300 мл|Жидкое мыло|0|Palmolive||Ароматерапия Прополис|300|мл
306|Жидкое мыло "Palmolive" Ароматерапия Энергия 300 мл|Жидкое мыло|0|Palmolive||Ароматерапия Энергия|300|мл
307|Жидкое мыло "Palmolive" Гранат и манго 300мл|Жидкое мыло|0|Palmolive||ганат и манго|300|мл
308|Жидкое мыло "Palmolive" Молоко и мед 300 мл|Жидкое мыло|0|Palmolive||Молоко и мед|300|мл
309|Жидкое мыло "Palmolive" Олива увлажняющее молочко 300 мл|Жидкое мыло|0|Palmolive||Олива увлажняющее молочко|300|мл
310|Жидкое мыло "Palmolive" Папайя-Йогурт 300 мл|Жидкое мыло|0|Palmolive||Папайя-Йогурт|300|мл
311|Жидкое мыло "Palmolive" Питательный уход Амазонский орех и молочко 300мл|Жидкое мыло|0|Palmolive||Питательный уход Амазонский орех и молочко|300|мл
312|Жидкое мыло "Palmolive" С антибактериальным эффектом 300мл|Жидкое мыло|0|Palmolive||С антибактериальным эффектом|300|мл
313|Жидкое мыло "Palmolive" С экстрактом лайма 300 мл|Жидкое мыло|0|Palmolive||С экстрактом лайма|300|мл
314|Жидкое мыло "Palmolive" Увлажнение миндаль и молочко 300 мл|Жидкое мыло|0|Palmolive||Увлажнение миндаль и молочко|300|мл
315|Жидкое мыло "Palmolive" Цветок вишни 300мл|Жидкое мыло|0|Palmolive||Цветок вишни|300|мл
316|Жидкое мыло "Tork Soap Liquid Mild 51" 1 л №420501|Жидкое мыло|0|Tork ||Soap Liquid Mild 51|1|л
317|Жидкое мыло "Tork Soar Liquid Mini Mild 52" 475 мл №420502|Жидкое мыло|0|Tork ||Soar Liquid Mini Mild 52|475|мл
